runname	catchfile	optfile	control	nits	chem1i	chem1wt	chem1ae	chem1re	chem2i	chem2wt	chem2ae	chem2re	catchname	shortname	catchseq	period	periodseq	setname	setseq	gelmanr	elapsed
allNP1a	tahuna	optionsa.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Tahunatara	Ta	5	a	1	Ta(a)	13	1.0120506679087482	0.01659333333333333
allNP2a	otama	optionsa.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Otamakokore	Ot	4	a	1	Ot(a)	10	1.0395729103505755	0.02028138888888889
allNP3a	waiotap	optionsa.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Waiotapu	Wp	2	a	1	Wp(a)	4	1.0361509855830038	0.0775011111111111
allNP4a	pokai	optionsa.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Pokaiwhenua	Po	3	a	1	Po(a)	7	1.0306985908802428	0.023761666666666667
allNP5a	piako	optionsa.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Piako	Pi	8	a	1	Pi(a)	22	1.030171859147853	0.019747499999999998
allNP6a	waitoa	optionsa.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Waitoa	Wt	7	a	1	Wt(a)	19	1.06372001844957	0.020664166666666667
allNP7a	waihou	optionsa.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Waihou	Wh	1	a	1	Wh(a)	1	1.0349653280089262	0.02415222222222222
allNP8a	puniu	optionsa.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Puniu	Pu	6	a	1	Pu(a)	16	1.0340064292987843	0.01930138888888889
allNP1b	tahuna	optionsb.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Tahunatara	Ta	5	b	2	Ta(b)	14	1.031768954938418	0.023747222222222225
allNP2b	otama	optionsb.dat	zero	400	13	1	0.02	0	16	1	0.2	0	Otamakokore	Ot	4	b	2	Ot(b)	11	NA	NA
allNP3b	waiotap	optionsb.dat	zero	400	13	1	0.02	0	16	1	0.2	0	Waiotapu	Wp	2	b	2	Wp(b)	5	NA	NA
allNP4b	pokai	optionsb.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Pokaiwhenua	Po	3	b	2	Po(b)	8	1.135632548320305	0.21416166666666667
allNP5b	piako	optionsb.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Piako	Pi	8	b	2	Pi(b)	23	1.021406070366682	0.024338333333333337
allNP6b	waitoa	optionsb.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Waitoa	Wt	7	b	2	Wt(b)	20	1.0515171052773933	0.0271
allNP7b	waihou	optionsb.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Waihou	Wh	1	b	2	Wh(b)	2	1.0301053933692157	0.030892777777777776
allNP8b	puniu	optionsb.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Puniu	Pu	6	b	2	Pu(b)	17	1.0158038172726047	0.023988055555555554
allNP1c	tahuna	optionsc.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Tahunatara	Ta	5	c	3	Ta(c)	15	1.0929956139138484	0.01973888888888889
allNP2c	otama	optionsc.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Otamakokore	Ot	4	c	3	Ot(c)	12	1.014519299471896	0.03798833333333334
allNP3c	waiotap	optionsc.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Waiotapu	Wp	2	c	3	Wp(c)	6	1.0501346608750586	0.03422777777777778
allNP4c	pokai	optionsc.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Pokaiwhenua	Po	3	c	3	Po(c)	9	1.017838873946025	0.0482625
allNP5c	piako	optionsc.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Piako	Pi	8	c	3	Pi(c)	24	1.089853150714482	0.06520416666666667
allNP6c	waitoa	optionsc.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Waitoa	Wt	7	c	3	Wt(c)	21	1.0183447531963834	0.019806111111111108
allNP7c	waihou	optionsc.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Waihou	Wh	1	c	3	Wh(c)	3	1.0393315727972943	0.03201916666666667
allNP8c	puniu	optionsc.dat	calib	400	13	1	0.02	0	16	1	0.2	0	Puniu	Pu	6	c	3	Pu(c)	18	1.0413386234236566	0.016290555555555555
